id,Date,Home,Away,Winner,Score_Home,Score_Away,FGM_Home,FGA_Home,FGM_Away,FGA_Away,3PM_Home,3PA_Home,3PM_Away,3PA_Away,FTM_Home,FTA_Home,FTM_Away,FTA_Away,REB_Home,REB_Away,OR_Home,OR_Away,DR_Home,DR_Away,ASS_Home,ASS_Away,ST_Home,ST_Away,BL_Home,BL_Away,TO_Home,TO_Away,POT_Home,POT_Away,FBP_Home,FBP_Away,PIP_Home,PIP_Away,PF_Home,PF_Away,TF_Home,TF_Away,FF_Home,FF_Away
400277749,2012-11-03,Nets,Raptors,Nets,107,100,37,81,37,82,6,15,7,18,27,37,19,25,59,46,9,10,32,27,20,23,6,8,5,5,17,14,15,15,21,14,52,34,19,31,1,1,0,0,
400277750,2012-11-03,Heat,Nuggets,Heat,119,116,43,83,49,95,10,25,5,21,23,27,13,20,37,60,7,18,25,29,26,13,9,5,8,3,8,15,19,6,14,6,40,72,16,21,0,0,0,0,
400277751,2012-11-03,Bulls,Pelicans,Pelicans,82,89,29,88,32,75,3,17,5,18,21,25,20,23,55,54,15,9,26,35,21,13,11,7,6,9,12,17,17,11,21,17,38,32,20,21,0,1,0,0,
400277752,2012-11-03,Rockets,Trail Blazers,Trail Blazers,85,95,34,96,39,93,5,26,10,24,12,18,7,12,65,62,16,10,40,43,19,28,12,11,4,8,18,16,15,20,18,9,48,38,16,18,0,0,0,0,
400277753,2012-11-03,Bucks,Cavaliers,Bucks,105,102,41,79,39,83,9,24,6,16,14,21,18,29,48,52,3,9,34,33,32,19,8,9,9,0,17,16,23,15,15,22,34,40,18,21,1,0,0,0,
400277754,2012-11-03,Mavericks,Hornets,Mavericks,126,99,49,80,39,91,16,25,3,17,12,15,18,24,48,44,8,15,35,23,31,19,6,13,7,2,22,12,13,19,16,12,50,44,23,14,0,0,0,0,
400277755,2012-11-03,Spurs,Jazz,Spurs,110,100,42,74,38,77,7,13,5,13,19,23,19,22,41,37,7,9,26,23,29,17,8,11,6,7,18,17,15,21,8,15,44,38,18,22,2,0,0,1,
400277756,2012-11-03,Clippers,Warriors,Warriors,110,114,30,70,41,84,10,21,4,16,40,52,28,39,47,59,7,16,26,32,21,22,6,7,5,2,16,14,18,16,16,14,32,48,31,34,5,5,0,0,
400277757,2012-11-04,Knicks,76ers,Knicks,100,84,39,77,34,79,11,27,8,17,11,18,8,10,48,44,8,10,31,31,18,14,12,8,5,2,15,18,20,14,4,2,36,38,10,18,1,0,1,0,
400277758,2012-11-04,Raptors,Timberwolves,Raptors,105,86,40,90,29,64,10,21,6,16,15,17,22,31,47,49,16,8,23,28,18,18,9,8,3,8,11,24,32,14,9,11,38,32,24,17,1,2,0,0,
400277759,2012-11-04,Magic,Suns,Magic,115,94,45,92,39,91,9,11,5,19,16,19,11,18,54,55,13,17,33,28,26,19,7,3,1,10,11,16,20,18,13,9,48,38,17,17,0,0,0,0,
400277760,2012-11-04,Thunder,Hawks,Hawks,95,104,33,71,41,83,9,22,8,25,20,22,14,20,44,44,7,12,30,26,27,20,4,12,9,1,21,11,16,31,12,7,38,42,21,20,1,0,0,0,
400277761,2012-11-04,Lakers,Pistons,Lakers,108,79,40,77,28,79,10,22,4,13,18,26,19,23,54,46,16,13,30,20,27,19,11,5,8,5,15,17,22,21,11,12,56,34,20,20,0,0,0,0,
400277762,2012-11-05,76ers,Knicks,Knicks,88,110,29,86,39,84,8,22,13,32,22,26,19,19,58,48,19,9,35,35,19,24,3,7,2,5,13,7,7,15,14,13,34,30,19,17,0,3,0,0,
400277763,2012-11-05,Nets,Timberwolves,Timberwolves,96,107,35,73,44,88,13,23,7,20,13,18,12,15,37,53,8,16,21,29,24,30,7,9,4,7,15,11,12,22,7,9,34,62,17,18,0,0,0,0,
400277764,2012-11-05,Heat,Suns,Heat,124,99,47,86,35,88,15,26,7,21,15,19,22,29,54,49,7,10,42,28,33,22,7,11,4,7,15,12,14,15,14,9,44,34,22,19,1,0,0,0,
